Vehicle_ID,Vehicle_Type,Brand,City,Rental_Days,Daily_Rate,Total_Rent,Customer_Rating,Distance_Travelled
VR001,Hatchback,Maruti,Nashik,5,1000,5000,3.8,144
VR002,Electric,Tata,Vadodara,7,1600,11200,3.5,263
VR003,Sedan,Toyota,Vadodara,1,2100,2100,3.8,598
VR004,Luxury,BMW,Pune,10,5700,57000,4.7,46
VR005,Sedan,Toyota,Pune,6,1700,10200,3.7,384
VR006,Hatchback,Maruti,Pune,2,1100,2200,4.8,310
VR007,Hatchback,Tata,Pune,9,900,8100,5.0,427
VR008,Hatchback,Tata,Mumbai,10,1100,11000,4.4,111
VR009,Hatchback,Tata,Ahmedabad,5,900,4500,4.8,143
VR010,Luxury,Mercedes,Pune,6,5000,30000,4.1,254
VR011,SUV,Toyota,Nashik,2,2700,5400,4.5,586
VR012,Sedan,Honda,Pune,7,1700,11900,5.0,610
VR013,Sedan,Toyota,Mumbai,1,1600,1600,4.7,363
VR014,Luxury,Mercedes,Surat,4,6000,24000,3.8,551
VR015,Luxury,Audi,Pune,3,5600,16800,3.7,614
VR016,Electric,MG,Nashik,10,2200,22000,4.8,448
VR017,SUV,Mahindra,Ahmedabad,9,2500,22500,3.6,88
VR018,Hatchback,Maruti,Nashik,3,1400,4200,4.1,105
VR019,Luxury,Mercedes,Vadodara,8,7300,58400,3.9,606
VR020,Hatchback,Tata,Nashik,2,1400,2800,4.8,313
VR021,SUV,Mahindra,Mumbai,7,2000,14000,4.2,309
VR022,Electric,Tata,Vadodara,2,2600,5200,3.9,559
VR023,Electric,Tata,Ahmedabad,6,1800,10800,4.3,583
VR024,Hatchback,Tata,Mumbai,8,900,7200,3.7,411
VR025,SUV,Mahindra,Surat,4,2700,10800,4.9,127
VR026,Luxury,BMW,Rajkot,9,4800,43200,3.7,526
VR027,Electric,Tata,Mumbai,9,2500,22500,4.1,256
VR028,Electric,Hyundai,Nashik,4,2700,10800,4.0,422
VR029,Luxury,Audi,Pune,2,5500,11000,3.8,386
VR030,Hatchback,Tata,Vadodara,4,1300,5200,3.8,112
VR031,Hatchback,Maruti,Surat,1,1100,1100,3.6,283
VR032,SUV,Toyota,Pune,4,2600,10400,3.7,624
VR033,Electric,MG,Ahmedabad,8,2200,17600,3.8,139
VR034,Luxury,Mercedes,Pune,7,6900,48300,4.8,95
VR035,Hatchback,Maruti,Pune,6,900,5400,3.9,234
VR036,Electric,MG,Ahmedabad,7,1800,12600,3.9,295
VR037,Hatchback,Hyundai,Rajkot,9,900,8100,3.6,593
VR038,Hatchback,Maruti,Rajkot,4,1000,4000,4.1,532
VR039,Sedan,Hyundai,Surat,3,1900,5700,3.5,439
VR040,SUV,Kia,Mumbai,7,2900,20300,4.9,609
VR041,Luxury,BMW,Ahmedabad,5,5300,26500,5.0,633
VR042,Electric,Tata,Nashik,6,1600,9600,3.6,528
VR043,Electric,Hyundai,Ahmedabad,1,2400,2400,3.6,230
VR044,Hatchback,Tata,Surat,4,1200,4800,3.7,623
VR045,Sedan,Toyota,Vadodara,1,1400,1400,4.1,637
VR046,Electric,Hyundai,Mumbai,5,1900,9500,4.5,361
VR047,Sedan,Hyundai,Pune,3,1700,5100,4.2,114
VR048,Hatchback,Hyundai,Vadodara,10,900,9000,3.6,258
VR049,Electric,MG,Ahmedabad,6,1700,10200,4.8,418
VR050,SUV,Mahindra,Pune,9,2900,26100,4.0,581
